Gesture,Group1,Group2,Z-Stat,p-value,Corrected p-value
Increase volume,Human-NSTR,GPT4o-NSTR,6.213735965758538,5.173943930367364e-10,6.208732716440837e-08
Increase volume,Human-NSTR,GPT5-NSTR,6.380045599260285,1.770352624169123e-10,2.1244231490029477e-08
Increase volume,Human-NSTR,Gemini-NSTR,5.406969721699283,6.409997434739373e-08,7.691996921687247e-06
Increase volume,Human-NSTR,Sonnet-NSTR,5.406969721699283,6.409997434739373e-08,7.691996921687247e-06
Increase volume,Human-NSTR,Grok-NSTR,7.600737202071207,2.944485178359577e-14,3.5333822140314927e-12
Decrease volume,Human-NSTR,GPT4o-NSTR,10.226468783537344,1.5092247817853167e-24,1.8110697381423802e-22
Decrease volume,Human-NSTR,GPT5-NSTR,10.782674857990767,4.156209687900452e-27,4.9874516254805425e-25
Decrease volume,Human-NSTR,Gemini-NSTR,10.502605381159839,8.402832476307268e-26,1.0083398971568721e-23
Decrease volume,Human-NSTR,Sonnet-NSTR,11.948985820273654,6.572235108322177e-33,7.886682129986612e-31
Decrease volume,Human-NSTR,Grok-NSTR,11.609194335052054,3.70086124897467e-31,4.441033498769604e-29
Mute microphone,Human-NSTR,Sonnet-NSTR,5.24698600336608,1.5460763978546407e-07,1.8552916774255687e-05
Mute microphone,Sonnet-NSTR,Grok-NSTR,-4.1934202957561855,2.7477965166875222e-05,0.0032973558200250267
Unmute microphone,Human-NSTR,Sonnet-NSTR,4.7871355387816905,1.6917858475478864e-06,0.00020301430170574636
Unmute microphone,Human-NSTR,Grok-NSTR,5.1453292807964415,2.670519666588855e-07,3.204623599906626e-05
Unmute microphone,GPT5-NSTR,Grok-NSTR,3.7262335882129958,0.00019436229627787602,0.023323475553345123
Unmute microphone,Gemini-NSTR,Sonnet-NSTR,3.5323145247329464,0.00041193908401380703,0.04943269008165684
Unmute microphone,Gemini-NSTR,Grok-NSTR,3.9583080684778644,7.548256087365565e-05,0.009057907304838677
Turn on camera,Human-NSTR,GPT4o-NSTR,4.075240608288154,4.596679469473079e-05,0.005516015363367695
Turn on camera,Human-NSTR,GPT5-NSTR,4.305622010454845,1.66517179986253e-05,0.001998206159835036
Turn on camera,Human-NSTR,Gemini-NSTR,3.5688065008626473,0.0003586111532719207,0.04303333839263049
Turn on camera,Human-NSTR,Sonnet-NSTR,4.513285709896911,6.383094040984578e-06,0.0007659712849181494
Turn on camera,Human-NSTR,Grok-NSTR,5.038238557731652,4.698356262833638e-07,5.638027515400366e-05
Ask for a question,Human-NSTR,GPT4o-NSTR,3.9167767021598716,8.974080049953534e-05,0.01076889605994424
Ask for a question,Human-NSTR,GPT5-NSTR,3.767134766347773,0.00016513186979711313,0.019815824375653577
Ask for a question,Human-NSTR,Gemini-NSTR,5.01230014158765,5.378322527398791e-07,6.45398703287855e-05
Ask for a question,Human-NSTR,Sonnet-NSTR,4.51161489410223,6.433591832372821e-06,0.0007720310198847386
Ask for a question,Human-NSTR,Grok-NSTR,4.232420463948749,2.3118968227261402e-05,0.002774276187271368
End call,Human-NSTR,GPT5-NSTR,3.745171510257437,0.00018027058013901453,0.021632469616681742
End call,Human-NSTR,Gemini-NSTR,4.751219572153145,2.0219342587618566e-06,0.00024263211105142278
End call,Human-NSTR,Sonnet-NSTR,5.039253340304667,4.673515167511655e-07,5.608218201013986e-05
