id_video,c1_description,c2_description,c3_description,c4_description,c5_description,c6_description,c7_description,c8_description
p_000,"The user performs a sequence of gestures: first raising the hand with fingers slightly bent and palm facing downward, transitioning to pointing upward with the index finger extended, and finally moving the hand downward in a quick motion.","The user performs a sequence of gestures starting with a rapid upward flick of the hand with fingers extended, transitioning into a downward pointing motion with the index finger, followed by a series of quick vertical hand movements with fingers loosely curled.","The user performs a gesture by raising their hand with fingers slightly curled, touching the side of their face near the cheek, followed by a movement where the hand transitions away from the face and returns to a resting position.","The user performs a sequence of gestures starting with the right hand moving upward with fingers slightly curled, transitioning to a pinching motion near the face, followed by an open hand wave with fingers spread, and ending with the hand returning downward.","The user performs a gesture by raising an open hand with fingers spread, followed by a repetitive downward motion of a closed hand with fingers curled into a loose fist.","The user performs a gesture sequence starting with a closed fist moving upward, transitioning to an open hand with fingers spread, and then moving the open hand in a waving motion before returning to a resting position.","The user performs a waving gesture with an open hand, fingers extended and slightly apart, moving side to side.","The user performs a sequence of gestures starting with an open hand raised and facing forward, followed by a pinching motion with the thumb and index finger, and concludes with a downward movement of the hand."
p_001,"The user raises their right hand, with fingers slightly curved, and places it against the side of their head near the ear, maintaining contact briefly before lowering it back.","The user raises their right hand to touch the side of their face with fingers extended, then transitions to raising the hand with the index finger pointing upward, and finally moves the hand downward with the index finger pointing forward.","The user performs a gesture where both hands cross at the wrists with fingers extended and spread, forming an ""X"" shape in front of the chest, followed by a return to a neutral position.",The user does not perform any hand gestures.,"The user raises their right hand, extends the index finger while curling the other fingers, points upward, then transitions to pointing to the side, and finally lowers the hand.","The user performs a gesture by raising their right hand, extending the index finger upward while the other fingers remain curled, and then moves the hand slightly forward before lowering it back.","The user raises their right hand with fingers extended and palm facing outward, holds it briefly, then lowers it and transitions to clasping both hands together.","The user performs a waving gesture with the right hand, fingers extended and slightly apart, moving side to side in front of the face."
p_002,"The user performs a gesture by raising their right hand, extending the index finger upward while the other fingers remain curled, and moves the hand slightly up and down repeatedly.","The user performs a gesture where one hand points upward with an extended index finger, then transitions to a repetitive downward pointing motion with the same hand.","The user performs two gestures in sequence: first, the right hand with the index finger extended touches the side of the head near the ear, and second, both hands move outward with palms facing upward and fingers spread.","The user performs two sequential gestures: first, the right hand with a closed fist and the index finger extended touches the side of the head near the temple, followed by the right hand raising with the index finger extended upward.","The user performs a sequence of gestures including a ""V"" shape with two fingers near the face, a hand covering the lower face, a crossing motion with both hands, a clapping motion, and an open-palmed gesture with both hands moving outward.","The user performs a sequence of gestures: first, the hand moves upward near the face with fingers extended, then transitions to a pinching motion with fingers near the mouth, followed by a forward flicking motion, and finally ends with a thumbs-up gesture.","The user raises their right hand with the index finger extended upward while the other fingers are curled, maintains this pose briefly, and then transitions to extending both the index and middle fingers upward in a ""V"" shape before lowering the hand.","The user performs a gesture where both hands, with fingers extended and slightly spread, move upward and outward in a smooth motion before returning downward."
p_003,"The user performs a gesture where the right hand, with fingers slightly curled, touches the chin and moves away in a small circular motion before returning to rest.","The user performs a gesture where the right hand moves upward to touch the chin with a closed fist, followed by a downward movement returning to the initial position.","The user raises their right hand, positions the index finger vertically in front of their lips, and then lowers the hand back to the resting position.","The user performs a sequence of gestures involving the right hand, starting with a resting position on the head, transitioning to a waving motion with fingers spread, and then forming an ""L"" shape with the thumb and index finger near the face, alternating between these gestures.","The user performs a single hand gesture where the right hand moves in a horizontal waving motion in front of the face, with the palm facing outward and fingers extended.","The user performs a waving gesture with the right hand, moving it side-to-side while the left hand remains in contact with the side of the head.","The user raises their right hand, extends the index finger upward while the other fingers remain curled, and performs a small circular motion before returning to a resting position.","The user performs a waving gesture with the right hand, characterized by an open palm facing outward and side-to-side motion, followed by a resting position."
p_004,"The user performs a sequence of gestures involving raising the right hand to touch the side of the head with fingers, followed by lifting the hand with fingers extended and moving it in a waving motion, and finally pointing with the index finger before returning to a resting position.","The user performs a sequence of gestures involving raising one hand with fingers slightly bent, moving it near the face, and then making a horizontal waving motion with the palm facing downward.","The user performs a sequence of gestures involving the right hand, starting with a relaxed upward movement, transitioning to a partially open hand with fingers spread, then forming a pinching motion with the thumb and index finger, and finally returning to a resting position.","The user performs a sequence of gestures involving raising one hand with fingers extended and palm facing forward, transitioning to pinching with thumb and index finger, and returning to a resting position.","The user performs a sequence of gestures involving raising one hand to touch the forehead, followed by a downward sweeping motion with the same hand.","The user performs a sequence of gestures involving a single hand, starting with a downward sweeping motion, transitioning to an upward wave with fingers extended, and ending with a return to a downward sweeping motion.","The user performs a gesture where the right hand moves upward with the index finger extended and pointing upward, holds the position briefly, and then returns to a resting position.","The user performs a sequence of gestures involving raising one hand with fingers extended and moving it near the face, crossing both hands with fingers interlocked, and finally raising a fist with a bent elbow."
p_005,"The user performs a single hand gesture with the right hand, characterized by an open palm facing upward, moving in a fluid upward and outward motion, followed by a series of quick flicking movements.","The user performs a sequence of gestures starting with a rapid upward motion of the right hand transitioning into an open palm facing forward, followed by a downward motion of the hand, and then returns to resting position.","The user performs a repeated waving motion with the right hand, palm facing left, fingers extended, followed by bringing the hand closer to the face with a slight inward rotation.","The user performs a sequence of gestures involving rapid hand movements, starting with the right hand moving vertically near the face, transitioning to a horizontal sweeping motion across the face, and ending with the right hand extended outward in a stationary position.","The user performs a sequence of gestures starting with rapid side-to-side waving of the right hand, transitioning to an open palm facing forward held steadily, followed by a forward flicking motion of the fingers, and ending with both hands returning to a resting position.","The user performs a gesture where the right hand moves forward with fingers extended and palm facing outward, then transitions to a stationary position with the palm still facing outward.","The user raises their right hand with the index finger extended upward while the left hand remains on the table, occasionally moving the right hand slightly, and then returns both hands to a resting position.","The user performs a sequence of gestures starting with a rapid waving motion of the right hand, transitions to a flat horizontal hand pose above the left hand, and concludes with a forward-pointing motion using the right hand."
p_006,"The user performs a gesture by raising their right hand with the index finger extended upward while the other fingers are curled, and moves the hand slightly side to side.","The user performs a repetitive upward and downward motion with a closed fist, followed by pointing forward with an extended index finger.","The user performs a sequence of gestures involving both hands moving forward with fingers extended and palms facing downward, followed by one hand raised near the head with a circular motion, and concludes with both hands overlapping and moving downward.","The user performs a sequence of gestures involving one hand waving side-to-side with fingers extended and slightly curved, followed by both hands coming together with interlaced fingers, and then returning to a single hand waving motion.","The user performs a gesture by raising one hand with fingers spread and palm facing forward, followed by a downward motion.","The user performs a hand gesture involving a raised hand with fingers extended, moving in a repetitive side-to-side waving motion.","The user performs a waving gesture with one hand, moving it side to side with fingers extended and palm facing outward.","The user performs a waving gesture with an open hand, fingers spread, moving side to side in front of their face."
p_007,"The user performs a sequence of gestures starting with pointing forward using the index finger, then touching the side of the head with the index finger, followed by raising the index finger upward, and finally moving the hand downward in a tapping motion.","The user performs a gesture with the right hand raised, fingers slightly spread, palm facing outward, moving near the face and then transitioning to a horizontal motion with the palm facing downward.","The user performs a sequence of gestures involving raising one hand to cover the face with the palm, followed by lowering the hand and making a fist with slight upward movements.",The user does not perform any hand gestures.,"The user initially touches the side of their head with their fingers, then raises their index finger vertically, transitions to pointing forward with the index finger, and finally moves their hand downward in a relaxed position.","The user performs a sequence of gestures starting with a single raised index finger, transitioning to an open hand with fingers spread, and returning to a resting position.","The user raises their right hand with the index finger extended upward while the other fingers are curled, holds the pose briefly, and then moves the hand to touch the side of their head.","The user performs a double thumbs-up gesture with both hands, raising their thumbs upward while the other fingers are curled, and maintains this pose with slight adjustments before returning to a resting position."
p_008,"The user performs a sequence of gestures involving the right hand moving in a circular motion near the table, transitioning to an upward movement with the palm facing down, followed by a vertical waving motion, and then returns to resting positions.","The user performs a sequence of gestures with the right hand, starting with rapid vertical movements and transitioning to a raised open palm held stationary above the head level.","The user performs a sequence of gestures: first, a rapid tapping motion with the hand on the table; second, the hand moves to touch the face near the mouth; third, the hand forms an ""OK"" gesture with the thumb and index finger creating a circle while the other fingers are extended; and finally, the hand returns to a tapping motion on the table.","The user performs a sequence of gestures involving the right hand moving upward to touch the side of the face near the ear, followed by a downward motion to rest, and then a repetitive tapping motion on the chest with the right hand.","The user performs a waving gesture with the right hand, moving it side to side with fingers extended and palm facing forward, followed by a tapping motion with the right hand on the table.","The user performs a sequence of gestures involving the right hand moving forward with fingers loosely curled, transitioning into a pointing gesture with the index finger extended, followed by a downward motion of the hand, and then returning to a resting position.","The user performs a sequence of gestures involving a rapid waving motion with the right hand, followed by a stationary open palm held upright, and concludes with a tapping motion of the right hand on the left hand.","The user performs a waving gesture with the right hand, characterized by an open palm facing outward and a side-to-side motion, followed by a tapping motion with the right hand on the table."
p_009,"The user performs a sequence of gestures with the right hand, starting with an open palm facing forward, transitioning to a pinching motion with the thumb and index finger, and ending with a relaxed hand position.","The user performs a gesture with the right hand extending forward, fingers slightly spread and curved, followed by a downward motion.","The user performs a sequence of gestures: first, the right hand moves forward with fingers spread open, transitions to a thumbs-up gesture, then forms a fist, and finally performs a repetitive downward tapping motion with the fist.","The user performs a sequence of gestures involving a closed fist moving vertically, followed by an open hand with fingers spread facing forward, and then transitions back to a closed fist moving vertically.","The user performs a sequence of gestures starting with a raised open hand facing outward, transitioning to a vertical upward motion, followed by a horizontal forward motion with the palm facing downward, and ending with a downward fist motion.","The user performs a sequence of gestures involving the right hand moving forward with an open palm facing upward, transitioning to a closed fist raised near the face, and then returning to a resting position.","The user performs a single hand gesture by raising the right hand with fingers extended and palm facing forward, followed by lowering the hand and forming a fist.","The user performs two gestures in sequence: first, an open hand with fingers spread, extended forward and held steady; second, a closed fist with the index finger pointing forward, followed by a tapping motion downward."
